product_id,slug,name,brand,category,variant,pack_size_g,serving_size_g,calories_kcal_100g,protein_g_100g,sugar_g_100g,fibre_g_100g,sodium_mg_100g,label_source_url,last_verified,verification_status,notes
HL-BV-ORIG-500,cadbury-bournvita-original-500g,Cadbury Bournvita Original,Cadbury Bournvita,Malted drink powders,Original,500,20,381,7.0,46.0,3.5,175,https://sastasundar.com/order-otc/bournvita-powder-jar-50-g-extra-free-500-g-r43u7dy,2026-09-19,Verified,Values are for powder only; milk not included. Retailer FSSAI table for the 500 g jar. Other Bournvita packs list different calories/sugar.
HL-BV-ZAS-500,cadbury-bournvita-zero-added-sugar-500g,Cadbury Bournvita Zero Added Sugar,Cadbury Bournvita,Malted drink powders,Zero Added Sugar,500,20,,,,,,https://www.bigbasket.com/pd/40354908/bournvita-zero-added-sugar-nutrition-drink-500-g-jar/,2026-09-19,Needs review,Trusted retailer listings confirm the 500 g Indian Zero Added Sugar jar and a 20 g serve from other shops. No complete official or trusted-retailer nutrition panel was found. Check the physical pack for calories protein total sugar fibre and sodium. Values must be powder-only.
HL-HOR-CM-500,horlicks-classic-malt-500g,Horlicks Classic Malt,Horlicks,Malted drink powders,Classic Malt,500,27,377,11.0,46.0,,400,https://www.1mg.com/otc/horlicks-health-nutrition-drink-classic-malt-otc370558,2026-09-19,Verified,Values are for powder only; milk not included. Nutrition per 100 g from Tata 1mg. Serving size 27 g confirmed on the official Horlicks India product page. Fibre not listed on the source panel.
HL-HOR-CD-500,horlicks-chocolate-delight-500g,Horlicks Chocolate Delight,Horlicks,Malted drink powders,Chocolate Delight,500,20,370,10.0,,,145,https://sastasundar.com/order-otc/horlicks-chocolate-delight-powder-jar-500-g-9gy6tm,2026-09-19,Needs review,Values are for powder only; milk not included. Energy protein and sodium from SastaSundar 500 g jar. Sugar listed only as sucrose 32 g/100 g so total sugar was left blank. Tata 1mg lists 360 kcal/100 g and a 20 g serve for a later formula. Confirm total sugar and current calories on pack.
HL-BOOST-500,boost-malted-energy-500g,Boost Malted Energy,Boost,Malted drink powders,3X More Stamina,500,20,369,7.5,35.0,2.0,,https://www.retailershakti.com/otc/boost-3x-more-stamina-powder-pouch-500-g-wholesale-132827,2026-09-19,Needs review,Values are for powder only; milk not included. Panel from a wholesale retailer listing. Sodium given only as <450 mg so sodium was left blank. Confirm the consumer pack label. Tata 1mg lists energy as 373 kcal without a full per-100 g table.
HL-COMP-CC-1000,complan-creamy-classic-1000g,Complan Creamy Classic,Complan,Malted drink powders,Creamy Classic,1000,33,419,18.0,50.5,,400,https://www.zydusmart.com/products/complan-nutrition-drink-powder-for-children-creamy-classic-flavour-1-kg-carton-nutrition-drink-for-kids-with-protein-34-vital-nutrients,2026-09-19,Verified,Values are for powder only; milk not included. Official ZydusMart manufacturer page; approximate values per 100 g. Serving 33 g (2 heaped tbsp) from Complan India. Fibre not listed. Closest current original Complan variant.
HL-COMP-RC-500,complan-royale-chocolate-500g,Complan Royale Chocolate,Complan,Malted drink powders,Royale Chocolate,500,33,419,18.0,45.5,,400,https://www.zydusmart.com/products/complan-nutrition-drink-powder-for-children-royale-chocolate-flavour-500-g-jar-nutrition-drink-for-kids-with-protein-34-vital-nutrients,2026-09-19,Verified,Values are for powder only; milk not included. Official ZydusMart manufacturer page; approximate values per 100 g. Serving 33 g twice daily. Fibre not listed. Ingredients block on this page appears copied from Creamy Classic and should be checked on pack.
HL-MILO-400,nestle-milo-activ-go-400g,Nestlé Milo Activ-Go,Nestlé,Malted drink powders,Activ-Go powder,400,,,,,,,https://www.flipkart.com/nestle-milo-activ-go-drinking-powder-energy-drink/p/itm16a0ed6140c47,2026-09-19,Needs review,Flipkart confirms a 400 g Milo Activ-Go powder sold in India but lists nutrient content as NA. Nestlé India pages describe Milo RTD rather than a powder panel. Do not use Singapore or Malaysia labels. Check the Indian pack for powder-only calories protein total sugar fibre sodium and serving size.
HL-CDM-46,cadbury-dairy-milk-milk-chocolate-46g,Cadbury Dairy Milk Milk Chocolate,Cadbury,Chocolates,Milk Chocolate,46,,532,7.8,57.0,,129,https://www.instamart.in/p/cadbury-dairy-milk-maha-pack-chocolate-bar-cricket-pack-NCM991M7DY,2026-09-19,Needs review,Retailer nutrition matches typical per-100 g FSSAI values. Flipkart lists 531 kcal and 7.9 g protein per 100 g for a similar 46 g bar. Serving size is not published separately. Fibre not listed. Confirm per-100 g panel and serve on the physical wrapper.
HL-BVILLE-70,cadbury-bournville-rich-cocoa-70,Cadbury Bournville Rich Cocoa 70% Dark Chocolate,Cadbury Bournville,Chocolates,Rich Cocoa 70% Dark,,,598,7.6,24.4,,18,https://www.zepto.com/pn/cadbury-bournville-rich-cocoa-70-dark-chocolate-bar/pvid/2c0eaebd-a904-402c-ae5f-92a862eee80d,2026-09-19,Needs review,Zepto listing reports per-100 g energy 598 kcal protein 7.6 g total sugars 24.4 g sodium 18 mg. Pack size and serving size were not clearly stated. Fibre not listed. Confirm the Indian 70% bar pack weight. 50% Bournville was not verified.
